Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,DriverId,Event,Round,Season,SessionType
0 days 00:49:07.753000,VER,1,,1.0,1.0,,,,0 days 00:00:46.651000,0 days 00:00:28.562000,,0 days 00:48:39.241000,0 days 00:49:07.922000,328.0,212.0,220.0,317.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:47:19.303000,2025-07-26 10:03:51.931,1,1.0,False,,False,False,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:50:54.022000,VER,1,0 days 00:01:46.269000,2.0,1.0,,,0 days 00:00:30.851000,0 days 00:00:46.870000,0 days 00:00:28.548000,0 days 00:49:38.630000,0 days 00:50:25.500000,0 days 00:50:54.048000,314.0,213.0,220.0,313.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:49:07.753000,2025-07-26 10:05:40.381,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:52:40.272000,VER,1,0 days 00:01:46.250000,3.0,1.0,,,0 days 00:00:30.968000,0 days 00:00:46.691000,0 days 00:00:28.591000,0 days 00:51:25.016000,0 days 00:52:11.707000,0 days 00:52:40.298000,319.0,210.0,220.0,314.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:50:54.022000,2025-07-26 10:07:26.650,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:54:26.463000,VER,1,0 days 00:01:46.191000,4.0,1.0,,,0 days 00:00:30.900000,0 days 00:00:46.704000,0 days 00:00:28.587000,0 days 00:53:11.198000,0 days 00:53:57.902000,0 days 00:54:26.489000,317.0,211.0,220.0,,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:52:40.272000,2025-07-26 10:09:12.900,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:56:12.885000,VER,1,0 days 00:01:46.422000,5.0,1.0,,,0 days 00:00:31.078000,0 days 00:00:46.645000,0 days 00:00:28.699000,0 days 00:54:57.567000,0 days 00:55:44.212000,0 days 00:56:12.911000,312.0,209.0,220.0,315.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:54:26.463000,2025-07-26 10:10:59.091,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:57:58.937000,VER,1,0 days 00:01:46.052000,6.0,1.0,,,0 days 00:00:30.906000,0 days 00:00:46.538000,0 days 00:00:28.608000,0 days 00:56:43.817000,0 days 00:57:30.355000,0 days 00:57:58.963000,319.0,209.0,219.0,,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:56:12.885000,2025-07-26 10:12:45.513,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 00:59:45.316000,VER,1,0 days 00:01:46.379000,7.0,1.0,,,0 days 00:00:30.971000,0 days 00:00:46.784000,0 days 00:00:28.624000,0 days 00:58:29.934000,0 days 00:59:16.718000,0 days 00:59:45.342000,312.0,210.0,219.0,314.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:57:58.937000,2025-07-26 10:14:31.565,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 01:01:31.710000,VER,1,0 days 00:01:46.394000,8.0,1.0,,,0 days 00:00:31.031000,0 days 00:00:46.827000,0 days 00:00:28.536000,0 days 01:00:16.373000,0 days 01:01:03.200000,0 days 01:01:31.736000,313.0,208.0,220.0,315.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:59:45.316000,2025-07-26 10:16:17.944,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 01:03:18.216000,VER,1,0 days 00:01:46.506000,9.0,1.0,,,0 days 00:00:30.976000,0 days 00:00:46.775000,0 days 00:00:28.755000,0 days 01:02:02.712000,0 days 01:02:49.487000,0 days 01:03:18.242000,320.0,207.0,219.0,,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:01:31.710000,2025-07-26 10:18:04.338,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
0 days 01:05:04.867000,VER,1,0 days 00:01:46.651000,10.0,1.0,,,0 days 00:00:30.949000,0 days 00:00:46.814000,0 days 00:00:28.888000,0 days 01:03:49.191000,0 days 01:04:36.005000,0 days 01:05:04.893000,312.0,211.0,219.0,316.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:03:18.216000,2025-07-26 10:19:50.844,1,1.0,False,,False,True,max_verstappen,Belgian Grand Prix,13,2025,Sprint
